0	0.46	-1.1	8.7
0	0.01	1.1	0.2
0	0.89	1.5	8.5
0	0.01	-0.9	0.1
0	6.84	-0.7	26.1
0	1.47	1.8	5.1
0	0.03	1.9	0.1
0	0.17	-0.1	0.6
0	1.15	2.4	3.8
0	0.03	2.7	0.1
0	1.41	1.8	4.4
0	3.19	4.3	8.7
0	5.76	3.9	13.1
0	0.48	4.1	1.1
0.06	0.00	0.6	0
0	0.30	0	0.7
0	1.37	1.1	3.1
0	0.89	2.2	2
0.06	0.04	3.4	0.1
0.05	0.04	5.1	0.1
0.5	0.00	8.5	0
0	2.02	5	4.6
0.41	0.09	3.1	0.2
0	1.84	5.5	4.1
0	2.86	4.1	6
0	3.96	4.2	7.7
0.27	0.61	3.4	1.2
0.71	0.15	1.7	0.3
0	1.28	3.9	2.5
0.58	0.15	3.9	0.3
0	3.35	4.7	6.3
0	6.02	4.9	10.3
0.18	0.00	1.9	0
0	4.00	0.9	6.6
0.22	0.06	3.3	0.1
0	1.25	3.3	2.1
0	0.41	2.7	0.7
0	0.06	1.3	0.1
0	1.29	2.5	2.2
0.82	0.00	4.5	0
1.02	0.00	2	0
1.1	0.00	2.5	0
1.64	0.00	3.1	0
2.33	0.00	-0.1	0
2.38	0.11	-0.4	0.2
1.22	0.64	-0.2	1.2
1.2	0.05	-0.3	0.1
1.34	0.00	-1.4	0
1.44	0.00	0.5	0
1.77	0.00	-0.7	0
0.73	0.60	-0.1	1.2
0	1.59	-1.8	3.1
0.06	0.05	-2.1	0.1
0	2.15	-1.7	4.1
0.17	0.00	1.8	0
0	13.15	-1	20.7
0	11.82	0.7	16.3
0	17.09	2	20.4
0	0.91	1.9	1.1
0.16	0.00	2.6	0
0	5.55	3.8	6.6
0.29	0.50	4.2	0.6
0	11.10	5.2	12.5
0	4.68	5.7	5.2
0.42	0.27	5.6	0.3
0.57	1.04	7.8	1.2
0	3.93	9.3	4.5
0.27	0.86	5.4	1
0.3	1.11	4.6	1.3
0	2.13	4.5	2.5
0	5.78	4.3	6.6
0	2.27	6.1	2.6
0.26	0.43	7	0.5
0	4.17	3.9	4.8
0	2.70	2	3.1
0.98	0.17	3.1	0.2
1.2	0.08	3.8	0.1
2.6	0.08	3.7	0.1
3.01	0.24	2.3	0.3
3.35	1.05	3.7	1.3
0	6.62	6.3	7.9
0	9.53	9	10.8
1.03	0.61	5.1	0.7
2.12	0.17	6.9	0.2
3.16	0.00	4.4	0
1.04	2.68	2.7	3.2
0	5.23	6.5	6.1
0	2.05	6.9	2.4
0	9.14	5.6	10.2
0	4.26	5.4	4.7
1.43	0.27	6.3	0.3
3.05	0.09	4.1	0.1
0.5	3.34	3.9	3.8
2.17	0.09	2.9	0.1
2.67	1.11	3.7	1.3
0	5.34	4.5	6.1
0	2.28	3.1	2.6
0	3.00	2.3	3.4
0	2.65	2.6	3
0.76	0.00	5.3	0
0.87	0.43	3.4	0.5
1.88	0.00	7.2	0
3.5	0.00	5.7	0
5.48	0.00	5.7	0
7.26	0.00	5.2	0
5.47	1.95	5.1	2.5
6.91	0.00	6.5	0
7.52	0.15	4.7	0.2
9.83	0.00	7.5	0
10.68	0.00	6.5	0
0.92	8.13	3.9	10.6
0	2.38	7.8	3.1
0	8.18	8.5	10.1
0.06	1.60	9.5	2
0	3.32	5.8	4.1
2.23	0.08	7.5	0.1
4.35	0.00	11.5	0
5.5	0.07	10.7	0.1
6.86	0.14	10.9	0.2
8.97	0.00	10.4	0
10.73	0.27	9.4	0.4
6.24	3.78	10.7	5.4
3.74	3.27	8.7	4.6
4.32	0.56	8.5	0.8
4.51	1.11	7.6	1.6
6.1	0.27	8.5	0.4
8.57	0.00	9.3	0
10.11	0.06	7.7	0.1
